DateTime,Fidas 200 PM2.5,SPS30 PM2.5,SEN55 PM2.5,HPMA115 PM2.5,NextPM PM2.5,SDS011 PM2.5
2023-3-16 13:31:34, 0, 2.34, 1.00, 0, 0.00, 0
2023-3-16 13:31:39, 0, 2.11, 1.00, 0, 0.00, 0
2023-3-16 13:31:44, 0, 2.12, 1.00, 0, 0.00, 0
2023-3-16 13:31:49, 0, 1.94, 0.90, 0, 4.70, 0
2023-3-16 13:31:54, 0, 1.81, 0.90, 0, 7.60, 0
2023-3-16 13:31:59, 0, 1.91, 1.00, 0, 6.40, 0
2023-3-16 13:32:4, 0, 2.01, 1.10, 0, 2.90, 0
2023-3-16 13:32:9, 0, 2.10, 1.20, 0, 1.30, 0
2023-3-16 13:32:14, 0, 2.24, 1.20, 0, 1.40, 0
2023-3-16 13:32:19, 0, 2.26, 1.30, 0, 4.90, 0
2023-3-16 13:32:24, 0, 2.08, 1.30, 0, 4.20, 0
2023-3-16 13:32:29, 0, 1.87, 1.30, 0, 3.10, 0
2023-3-16 13:32:34, 0, 1.75, 1.30, 0, 3.60, 0
2023-3-16 13:32:39, 0, 2.12, 1.30, 0, 1.50, 0
2023-3-16 13:32:44, 0, 2.33, 1.10, 0, 2.40, 0
2023-3-16 13:32:49, 0, 2.34, 1.10, 0, 3.30, 0
2023-3-16 13:32:54, 0, 2.17, 1.00, 0, 3.30, 0
2023-3-16 13:32:59, 0, 2.23, 1.00, 0, 2.20, 0
2023-3-16 13:33:5, 0, 2.18, 1.10, 0, 1.50, 0
2023-3-16 13:33:10, 0, 2.30, 1.20, 0, 1.50, 0
2023-3-16 13:33:15, 0, 2.49, 1.30, 0, 4.50, 0
2023-3-16 13:33:20, 0, 2.44, 1.30, 0, 4.70, 0
2023-3-16 13:33:25, 0, 2.28, 1.20, 0, 5.10, 0
2023-3-16 13:33:30, 0, 2.11, 1.20, 0, 5.10, 0
2023-3-16 13:33:35, 0, 1.87, 1.10, 0, 1.40, 0
2023-3-16 13:33:40, 0, 1.57, 1.10, 0, 1.90, 0
2023-3-16 13:33:45, 0, 1.36, 1.10, 0, 3.40, 0
2023-3-16 13:33:50, 0, 1.24, 1.10, 0, 2.70, 0
2023-3-16 13:33:55, 0, 1.12, 1.10, 0, 2.90, 0
2023-3-16 13:34:0, 0, 1.16, 1.30, 0, 3.00, 0
2023-3-16 13:34:5, 0, 1.25, 1.30, 0, 1.40, 0
2023-3-16 13:34:10, 0, 2.39, 1.30, 0, 6.10, 0
2023-3-16 13:34:15, 0, 2.57, 1.30, 0, 6.70, 0
2023-3-16 13:34:20, 0, 2.25, 1.30, 0, 3.60, 0
2023-3-16 13:34:25, 0, 1.85, 1.30, 0, 3.00, 0
2023-3-16 13:34:30, 0, 1.65, 1.30, 0, 1.50, 0
2023-3-16 13:34:35, 0, 1.63, 1.30, 0, 1.40, 0
2023-3-16 13:34:40, 0, 1.59, 1.20, 0, 1.60, 0
2023-3-16 13:34:45, 0, 1.69, 1.20, 0, 2.20, 0
2023-3-16 13:34:50, 0, 2.00, 1.40, 0, 2.90, 0
2023-3-16 13:34:55, 0, 1.93, 1.50, 0, 2.50, 0
2023-3-16 13:35:0, 0, 1.91, 1.40, 0, 3.10, 0
2023-3-16 13:35:5, 0, 1.75, 1.30, 0, 6.20, 0
2023-3-16 13:35:10, 0, 1.60, 1.30, 0, 5.00, 0
2023-3-16 13:35:15, 0, 1.47, 1.30, 0, 1.90, 0
2023-3-16 13:35:20, 0, 1.33, 1.30, 0, 1.50, 0
2023-3-16 13:35:25, 0, 1.44, 1.30, 0, 1.60, 0
2023-3-16 13:35:30, 0, 1.84, 1.30, 0, 1.30, 0
2023-3-16 13:35:35, 0, 1.85, 1.40, 0, 1.10, 0
2023-3-16 13:35:41, 0, 1.71, 1.40, 0, 1.40, 0
2023-3-16 13:35:46, 0, 1.59, 1.40, 0, 4.60, 0
2023-3-16 13:35:51, 0, 1.44, 1.40, 0, 4.40, 0
2023-3-16 13:35:56, 0, 1.34, 1.30, 0, 1.90, 0
2023-3-16 13:36:1, 0, 1.28, 1.20, 0, 1.60, 0
2023-3-16 13:36:6, 0, 1.17, 1.00, 0, 1.50, 0
2023-3-16 13:36:11, 0, 1.11, 1.00, 0, 2.00, 0
2023-3-16 13:36:16, 0, 1.11, 1.10, 0, 1.80, 0
2023-3-16 13:36:21, 0, 1.27, 1.10, 0, 3.20, 0
2023-3-16 13:36:26, 0, 1.37, 1.10, 0, 4.40, 0
2023-3-16 13:36:31, 0, 1.42, 1.50, 0, 6.00, 0
2023-3-16 13:36:36, 0, 1.45, 1.50, 0, 6.90, 0
2023-3-16 13:36:41, 0, 1.42, 1.60, 0, 9.10, 0
2023-3-16 13:36:46, 0, 1.25, 1.60, 0, 7.40, 0
2023-3-16 13:36:51, 0, 1.19, 1.50, 0, 3.70, 0
2023-3-16 13:36:56, 0, 1.23, 1.30, 0, 1.80, 0
2023-3-16 13:37:1, 0, 1.29, 1.40, 0, 2.70, 0
2023-3-16 13:37:6, 0, 1.34, 1.40, 0, 2.20, 0
2023-3-16 13:37:11, 0, 1.28, 1.40, 0, 1.60, 0
2023-3-16 13:37:16, 0, 1.14, 1.40, 0, 1.40, 0
2023-3-16 13:37:21, 0, 1.13, 1.30, 0, 1.40, 0
2023-3-16 13:37:26, 0, 1.19, 1.30, 0, 1.90, 0
2023-3-16 13:37:31, 0, 1.19, 1.40, 0, 2.70, 0
2023-3-16 13:37:36, 0, 1.20, 1.40, 0, 2.40, 0
2023-3-16 13:37:41, 0, 1.29, 1.40, 0, 1.80, 0
2023-3-16 13:37:46, 0, 1.45, 1.40, 0, 2.30, 0
2023-3-16 13:37:51, 0, 1.52, 1.40, 0, 3.20, 0
2023-3-16 13:37:56, 0, 1.47, 1.50, 0, 6.40, 0
2023-3-16 13:38:1, 0, 1.45, 1.50, 0, 6.00, 0
2023-3-16 13:38:6, 0, 1.34, 1.50, 0, 5.40, 0
2023-3-16 13:38:11, 0, 1.29, 1.60, 0, 5.00, 0
2023-3-16 13:38:16, 0, 1.37, 1.70, 0, 6.20, 0
2023-3-16 13:38:21, 0, 3.07, 1.70, 0, 6.70, 0
2023-3-16 13:38:26, 0, 2.47, 1.70, 0, 5.60, 0
2023-3-16 13:38:31, 0, 2.17, 1.80, 0, 5.10, 0
2023-3-16 13:38:36, 0, 1.99, 1.60, 0, 1.80, 0
2023-3-16 13:38:41, 0, 1.82, 1.60, 0, 1.60, 0
2023-3-16 13:38:46, 0, 1.74, 1.50, 0, 3.20, 0
2023-3-16 13:38:51, 0, 1.61, 1.40, 0, 3.40, 0
2023-3-16 13:38:57, 0, 1.60, 1.50, 0, 5.80, 0
2023-3-16 13:39:2, 0, 1.67, 1.50, 0, 8.00, 0
2023-3-16 13:39:7, 0, 1.67, 1.40, 0, 4.00, 0
2023-3-16 13:39:12, 0, 1.64, 1.30, 0, 6.20, 0
2023-3-16 13:39:17, 0, 1.61, 1.40, 0, 6.60, 0
2023-3-16 13:39:22, 0, 1.47, 1.50, 0, 2.20, 0
2023-3-16 13:39:27, 0, 1.56, 1.60, 0, 2.80, 0
2023-3-16 13:39:32, 0, 1.54, 1.50, 0, 3.20, 0
2023-3-16 13:39:37, 0, 1.54, 1.50, 0, 6.10, 0
2023-3-16 13:39:42, 0, 1.47, 1.50, 0, 7.50, 0
2023-3-16 13:39:47, 0, 1.53, 1.50, 0, 4.10, 0
2023-3-16 13:39:52, 0, 1.75, 1.50, 0, 1.70, 0
2023-3-16 13:39:57, 0, 1.92, 1.60, 0, 1.70, 0
2023-3-16 13:40:2, 0, 1.98, 1.60, 0, 2.40, 0
2023-3-16 13:40:7, 0, 1.94, 1.50, 0, 3.90, 0
2023-3-16 13:40:12, 0, 1.78, 1.50, 0, 7.90, 0
2023-3-16 13:40:17, 0, 1.73, 1.50, 0, 5.80, 0
