DateTime,Fidas 200 PM2.5,SPS30 PM2.5,SEN55 PM2.5, HPMA115 PM2.5, NextPM PM2.5, SDS011 PM2.5
2023-3-8 10:37:22, 0.68, 0, 0, 0, 0, 0.70
2023-3-8 10:37:28, 0.68, 0, 0, 0, 0, 1.00
2023-3-8 10:37:33, 0.68, 0, 0, 0, 0, 1.00
2023-3-8 10:37:39, 0.68, 0, 0, 0, 0, 0.90
2023-3-8 10:37:45, 0.68, 0, 0, 0, 0, 0.80
2023-3-8 10:37:50, 0.68, 0, 0, 0, 0, 0.70
2023-3-8 10:37:56, 0.67, 0, 0, 0, 0, 0.60
2023-3-8 10:38:1, 0.67, 0, 0, 0, 0, 0.60
2023-3-8 10:38:7, 0.67, 0, 0, 0, 0, 0.60
2023-3-8 10:38:13, 0.67, 0, 0, 0, 0, 0.60
2023-3-8 10:38:18, 0.67, 0, 0, 0, 0, 0.60
2023-3-8 10:38:24, 0.67, 0, 0, 0, 0, 0.70
2023-3-8 10:38:29, 0.67, 0, 0, 0, 0, 0.80
2023-3-8 10:38:35, 0.67, 0, 0, 0, 0, 0.70
2023-3-8 10:38:41, 0.67, 0, 0, 0, 0, 0.80
2023-3-8 10:38:46, 0.67, 0, 0, 0, 0, 0.80
2023-3-8 10:38:52, 0.67, 0, 0, 0, 0, 0.80
2023-3-8 10:38:57, 0.65, 0, 0, 0, 0, 0.90
2023-3-8 10:39:3, 0.65, 0, 0, 0, 0, 0.90
2023-3-8 10:39:9, 0.65, 0, 0, 0, 0, 0.90
2023-3-8 10:39:14, 0.65, 0, 0, 0, 0, 0.80
2023-3-8 10:39:20, 0.65, 0, 0, 0, 0, 0.80
2023-3-8 10:39:25, 0.64, 0, 0, 0, 0, 0.70
2023-3-8 10:39:31, 0.64, 0, 0, 0, 0, 0.60
2023-3-8 10:39:37, 0.64, 0, 0, 0, 0, 0.70
2023-3-8 10:39:42, 0.64, 0, 0, 0, 0, 0.70
2023-3-8 10:39:48, 0.64, 0, 0, 0, 0, 0.80
2023-3-8 10:39:53, 0.64, 0, 0, 0, 0, 0.80
2023-3-8 10:39:59, 0.63, 0, 0, 0, 0, 0.90
2023-3-8 10:40:5, 0.63, 0, 0, 0, 0, 0.90
2023-3-8 10:40:10, 0.63, 0, 0, 0, 0, 0.90
2023-3-8 10:40:16, 0.63, 0, 0, 0, 0, 0.90
2023-3-8 10:40:21, 0.63, 0, 0, 0, 0, 0.90
2023-3-8 10:40:27, 0.62, 0, 0, 0, 0, 0.90
2023-3-8 10:40:33, 0.62, 0, 0, 0, 0, 0.80
2023-3-8 10:40:38, 0.62, 0, 0, 0, 0, 0.70
2023-3-8 10:40:44, 0.62, 0, 0, 0, 0, 0.70
2023-3-8 10:40:49, 0.62, 0, 0, 0, 0, 0.70
2023-3-8 10:40:55, 0.62, 0, 0, 0, 0, 0.70
2023-3-8 10:41:1, 0.61, 0, 0, 0, 0, 0.70
2023-3-8 10:41:6, 0.61, 0, 0, 0, 0, 0.70
2023-3-8 10:41:12, 0.61, 0, 0, 0, 0, 0.70
2023-3-8 10:41:17, 0.61, 0, 0, 0, 0, 0.80
2023-3-8 10:41:23, 0.61, 0, 0, 0, 0, 0.80
2023-3-8 10:41:29, 0.60, 0, 0, 0, 0, 0.80
2023-3-8 10:41:34, 0.60, 0, 0, 0, 0, 0.80
2023-3-8 10:41:40, 0.60, 0, 0, 0, 0, 0.80
2023-3-8 10:41:45, 0.60, 0, 0, 0, 0, 0.80
2023-3-8 10:41:51, 0.60, 0, 0, 0, 0, 0.70
2023-3-8 10:41:57, 0.60, 0, 0, 0, 0, 0.80
2023-3-8 10:42:2, 0.58, 0, 0, 0, 0, 0.70
2023-3-8 10:42:8, 0.58, 0, 0, 0, 0, 0.60
2023-3-8 10:42:13, 0.58, 0, 0, 0, 0, 0.60
