DateTime,Fidas 200 PM2.5,SEN55 PM2.5,SEN55 RH,SEN55 T,SDS011 1 PM2.5,SDS011 2 PM2.5,SDS011 3 PM2.5,SDS011 4 PM2.5
2023-8-9 14:54:33, 182.44, 1321.70, 37.98, 31.53, 257.70, 215.80, 237.30, 178.30
2023-8-9 14:54:40, 654.49, 64.10, 37.81, 31.53, 104.00, 95.40, 104.10, 86.00
2023-8-9 14:54:47, 230.20, 16.70, 37.55, 31.54, 63.30, 63.30, 65.70, 57.70
2023-8-9 14:54:54, 169.59, 20.70, 37.43, 31.56, 48.70, 49.00, 51.20, 44.90
2023-8-9 14:55:2, 105.38, 15.60, 37.31, 31.62, 15.40, 14.50, 10.50, 8.90
2023-8-9 14:55:9, 52.46, 15.20, 37.16, 31.84, 7.70, 8.80, 8.80, 6.90
2023-8-9 14:55:16, 42.00, 37.90, 36.39, 32.72, 10.00, 12.10, 11.10, 9.20
2023-8-9 14:55:23, 39.31, 592.40, 35.15, 34.03, 25.80, 32.10, 28.30, 22.80
2023-8-9 14:55:30, 343.85, 344.70, 33.68, 35.19, 50.70, 47.50, 42.20, 34.80
2023-8-9 14:55:38, 160.35, 35.20, 32.02, 35.98, 54.10, 49.70, 43.80, 36.00
2023-8-9 14:55:45, 114.76, 21.80, 31.30, 36.49, 52.60, 47.30, 42.20, 34.10
2023-8-9 14:55:52, 94.24, 32.40, 30.45, 36.87, 48.60, 44.40, 34.90, 28.90
2023-8-9 14:55:59, 94.24, 61.10, 29.61, 37.17, 22.20, 18.00, 15.20, 12.20
2023-8-9 14:56:6, 94.24, 60.00, 29.11, 37.13, 22.20, 19.80, 17.60, 13.20
2023-8-9 14:56:14, 94.24, 645.30, 29.20, 36.76, 48.20, 53.90, 47.60, 41.90
2023-8-9 14:56:21, 455.13, 417.20, 29.52, 36.19, 71.30, 76.90, 68.30, 64.40
2023-8-9 14:56:28, 536.48, 95.10, 30.01, 35.67, 83.10, 90.90, 79.80, 74.80
2023-8-9 14:56:35, 531.71, 49.50, 30.11, 35.41, 88.10, 94.40, 81.20, 74.30
2023-8-9 14:56:42, 420.41, 23.40, 30.35, 35.31, 67.30, 64.60, 51.40, 48.50
